timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_size,MSE
2021-10-26 01:30:30,164.245.182.195,110.75.79.143,8420,63246,UDP,310,0.035592
2023-03-13 10:44:57,105.142.122.197,73.56.109.121,12812,65238,ICMP,1264,0.032326
2021-11-10 11:36:47,124.1.7.86,6.133.212.107,5286,47921,TCP,394,0.027996
2020-12-28 16:40:33,103.155.35.247,30.80.186.185,2742,12433,ICMP,1418,0.028591
2021-01-27 05:36:05,73.105.68.151,33.7.99.23,64091,30027,UDP,1332,0.032631
2023-10-02 13:04:12,88.102.97.132,68.226.25.169,62092,11419,TCP,696,0.029364
2021-02-28 04:05:36,57.25.84.165,73.230.188.197,63992,49502,ICMP,1204,0.026378
2022-09-16 05:57:42,24.53.129.134,138.147.82.74,49670,6835,UDP,1330,0.031474
2022-07-31 23:55:50,53.212.206.231,92.92.63.236,64774,43879,TCP,1411,0.047182
2023-11-01 00:48:21,87.13.102.50,48.16.157.179,61784,10278,TCP,111,0.027731
2023-06-17 21:36:39,60.93.21.210,53.152.242.121,44458,59467,ICMP,351,0.025474
2022-11-18 00:14:15,138.54.218.149,174.68.140.128,4976,60803,UDP,501,0.028555
2020-12-10 00:57:28,12.152.4.155,85.198.242.134,10870,53249,TCP,229,0.025915
2020-03-04 15:22:59,223.201.27.10,101.73.2.26,57803,5111,UDP,1395,0.041008
2021-05-03 01:56:09,64.159.243.104,98.187.244.60,45780,59686,ICMP,584,0.027303
2021-05-11 11:41:03,131.190.195.129,39.204.111.227,2191,32692,TCP,70,0.029444
