timestamp,source_ip,source_port,destination_ip,destination_port,protocol,packet_size
2020-07-29 05:54:01,87.33.168.124,36394,179.90.120.65,18693,TCP,1240
2022-10-27 22:32:15,24.146.147.168,55740,28.127.97.70,50262,ICMP,1391
2022-12-19 08:08:09,70.165.191.46,8048,31.34.147.148,27480,UDP,352
2022-03-13 08:58:57,132.64.55.92,24158,13.120.233.32,57209,TCP,820
2020-10-19 17:37:07,171.172.66.165,45437,151.235.67.190,36555,TCP,966
2023-07-09 04:46:05,161.200.186.103,3122,110.242.87.60,25264,TCP,332
2022-06-30 06:11:15,200.205.80.106,51314,155.105.126.81,54105,ICMP,655
2023-04-10 15:30:47,99.231.240.215,62019,222.217.11.215,60239,ICMP,1318
2022-07-04 11:42:21,68.207.125.50,37512,29.60.75.60,8785,ICMP,321
2020-04-10 07:47:25,194.118.200.238,49117,183.26.80.30,1216,ICMP,1379
2021-01-14 21:44:37,140.151.97.93,16396,64.123.231.171,8450,TCP,992
2023-05-01 03:05:11,77.173.68.52,34349,52.104.117.28,29807,TCP,1369
2022-08-09 14:26:39,15.148.235.135,5995,4.131.226.126,27676,UDP,483
2020-01-14 22:55:49,190.104.69.124,38783,12.160.175.250,53049,TCP,561
2022-01-01 15:07:57,95.54.89.131,19844,144.54.61.54,24957,TCP,1195
2022-05-23 22:58:02,139.25.1.250,6865,203.0.119.195,58384,TCP,355
2021-02-09 15:29:46,168.30.108.92,1317,70.252.58.184,58789,TCP,1411
2020-04-28 06:02:26,97.206.144.255,46677,64.135.35.84,62425,TCP,965
2020-08-13 06:59:21,59.228.174.224,28253,100.169.96.186,35122,ICMP,1321
2022-01-22 13:06:47,65.63.190.90,8592,156.141.144.132,5848,TCP,1004
2021-04-19 17:38:20,69.103.34.42,38933,177.114.105.242,33538,UDP,1219
2022-04-26 03:14:42,52.146.217.93,8137,45.37.221.162,32569,ICMP,183
2020-10-24 17:57:54,150.76.37.185,54919,158.5.117.52,56375,ICMP,795
2021-03-12 13:37:28,215.232.32.201,52102,79.155.174.164,21308,TCP,699
2023-04-04 01:18:13,171.147.235.247,24019,100.130.77.23,5086,UDP,141
2023-02-16 20:15:32,137.146.81.168,56658,168.78.223.150,60816,UDP,709
2022-07-08 11:37:53,34.176.65.100,29403,209.86.130.162,50026,UDP,1411
2022-11-12 08:25:46,175.106.254.248,14170,34.155.234.128,52932,TCP,297
2021-10-18 01:47:21,111.157.177.76,38839,68.35.84.137,28843,TCP,271
2021-03-17 01:46:09,84.129.5.17,3475,50.75.181.204,41668,UDP,539
2021-04-17 16:33:29,196.42.146.218,47565,13.7.69.170,61097,ICMP,1057
2020-10-25 06:52:08,195.189.12.155,62123,129.11.234.54,33390,TCP,866
2021-05-30 01:15:55,111.118.24.125,63525,96.188.235.253,63150,TCP,818
