timestamp,source_ip,source_port,destination_ip,destination_port,protocol,packet_size
2020-04-21 07:42:59,28.200.128.12,17949,196.134.134.107,54209,UDP,1133
2021-09-11 05:45:14,8.232.236.192,24794,159.53.103.13,14716,ICMP,571
2020-11-21 01:54:57,61.135.25.84,51538,216.135.77.251,19089,ICMP,369
2020-06-11 08:53:21,193.96.87.127,52458,51.91.8.117,50660,TCP,543
2020-12-04 10:41:07,123.84.103.209,56064,87.83.133.232,25858,ICMP,355
2023-09-23 05:09:51,178.40.235.84,48550,148.230.68.98,6500,TCP,534
2021-05-13 22:31:01,53.181.54.189,55694,169.146.48.241,31419,ICMP,65
2021-04-03 02:15:28,131.75.21.254,56543,28.202.14.126,32556,UDP,1447
2021-01-22 15:57:06,163.21.5.193,33253,15.28.108.67,22486,ICMP,1063
2023-11-24 14:12:25,3.15.19.5,53351,223.229.252.73,11652,ICMP,217
2020-10-29 02:06:00,162.165.142.92,43463,218.169.103.219,8370,TCP,1173
2020-01-23 04:54:28,81.69.166.188,46221,215.192.16.250,5663,UDP,579
2020-02-17 00:53:08,195.145.81.28,16192,135.228.76.246,19718,TCP,285
2022-02-20 11:45:45,184.53.121.64,18470,185.56.5.43,39393,UDP,820
2020-10-13 08:46:37,21.14.88.134,28847,163.135.20.38,56942,TCP,1076
2020-12-08 10:53:48,160.67.25.130,11962,120.204.204.74,39183,ICMP,838
2023-06-02 07:58:53,185.126.235.3,50697,146.20.68.168,12482,TCP,1356
2023-10-14 12:50:03,32.227.192.56,12164,6.116.182.226,29585,ICMP,864
2020-02-14 23:46:33,216.137.175.159,51837,188.178.45.42,57763,ICMP,1049
2020-07-10 13:16:06,154.203.0.144,50216,133.210.86.175,5974,ICMP,469
2020-10-07 04:44:13,54.109.101.60,60762,168.240.98.1,43804,UDP,1359
2022-10-01 05:33:13,40.127.69.245,61519,63.243.4.81,22817,ICMP,166
2022-04-30 12:46:27,4.84.105.58,31078,81.14.252.114,32186,ICMP,1049
